Name,Description,Latitude,Longitude,Cost
London,"The capital city of the UK - known for its rich history and iconic landmarks.",51.5074,-0.1278,High
Edinburgh,"The capital city of Scotland - famous for its historic and cultural attractions.",55.9533,-3.1883,High
Bath,"A historic city known for its Roman-built baths and Georgian architecture.",51.3813,-2.3590,Medium
York,"A charming city with a medieval history - including York Minster and the Shambles.",53.9590,-1.0815,Low
Oxford,"Home to the prestigious University of Oxford and beautiful architecture.",51.7548,-1.2544,Medium
Cambridge,"Famous for the University of Cambridge and picturesque punting on the River Cam.",52.2043,0.1140,Low
Liverpool,"Known for its maritime history - The Beatles, and the Albert Dock.",53.4084,-2.9916,Medium
Glasgow,"Scotland's largest city - known for its vibrant arts scene and architecture.",55.8642,-4.2518,Medium
Belfast,"The capital of Northern Ireland - with a rich history and Titanic Belfast museum.",54.5973,-5.9301,High
Cardiff,"The capital of Wales - offering historic sites and vibrant cultural experiences.",51.4816,-3.1791,Low
Manchester,"A dynamic city known for its industrial heritage and thriving music scene.",53.4839,-2.2446,Low
Birmingham,"England's second city - with a diverse culture and impressive architecture.",52.4862,-1.8904,Low